Year,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FGP,3P,3PA,3PP,2P,2PA,2PP,eFGP,FT,FTA,FTP,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2020,Udonis Haslem,PF,39,MIA,2,0,5.5,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,1.5,2.0,.750,0.0,1.5,1.5,0.0,0.0,0.0,0.0,1.5,2.5
2020,Jaxson Hayes,C,19,NOP,52,12,17.8,2.9,4.4,.664,0.0,0.1,.250,2.9,4.3,.671,.666,2.1,3.3,.626,1.6,2.7,4.3,1.0,0.4,1.0,0.8,2.7,7.9
2020,Gordon Hayward,SF,29,BOS,37,37,33.2,6.7,13.4,.504,1.6,4.1,.392,5.1,9.2,.554,.565,2.2,2.5,.880,1.1,5.6,6.7,4.1,0.7,0.5,1.7,1.8,17.3
2020,John Henson,PF,29,TOT,32,2,14.2,2.2,4.1,.538,0.2,1.0,.194,2.0,3.1,.646,.562,0.6,1.1,.529,1.1,2.9,4.0,1.4,0.5,1.1,0.8,1.8,5.1
2020,John Henson,PF,29,CLE,29,2,14.2,2.1,4.1,.508,0.2,1.1,.194,1.9,3.1,.618,.533,0.6,1.1,.515,1.1,2.8,3.9,1.5,0.6,1.1,0.7,1.9,5.0
2020,John Henson,PF,29,DET,3,0,13.7,3.0,3.3,.900,0.0,0.0,,3.0,3.3,.900,.900,0.3,0.3,1.000,1.0,3.3,4.3,0.3,0.3,1.3,1.0,0.7,6.3
2020,Dewan Hernandez,C,23,TOR,4,0,2.8,0.3,1.3,.200,0.0,0.3,.000,0.3,1.0,.250,.200,0.5,0.5,1.000,0.5,1.3,1.8,0.0,0.3,0.0,0.3,1.5,1.0
2020,Juan Hernangómez,PF,24,TOT,37,3,13.8,1.4,3.9,.366,0.6,2.0,.284,0.9,1.9,.451,.438,0.7,1.0,.658,0.8,2.2,3.1,0.7,0.2,0.2,0.5,1.0,4.1
2020,Juan Hernangómez,PF,24,DEN,34,0,12.4,1.1,3.2,.345,0.4,1.8,.250,0.7,1.5,.460,.414,0.5,0.7,.640,0.7,2.1,2.8,0.6,0.1,0.1,0.5,0.9,3.1
2020,Juan Hernangómez,PF,24,MIN,3,3,30.0,5.0,11.7,.429,2.0,4.7,.429,3.0,7.0,.429,.514,3.0,4.3,.692,2.0,4.0,6.0,1.3,0.7,0.3,0.3,2.7,15.0
2020,Willy Hernangómez,C,25,CHO,24,0,10.6,2.2,4.2,.525,0.2,0.8,.250,2.0,3.4,.593,.550,1.1,1.9,.565,1.3,2.3,3.6,0.7,0.3,0.2,0.9,1.2,5.7
2020,Tyler Herro,SG,20,MIA,46,6,27.7,4.8,11.5,.414,2.2,5.5,.393,2.6,6.0,.433,.508,1.4,1.7,.835,0.3,3.7,4.0,2.0,0.6,0.2,1.6,1.3,13.1
2020,Kevin Hervey,PF,23,OKC,6,0,2.2,0.0,0.8,.000,0.0,0.7,.000,0.0,0.2,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.2,0.0,0.0,0.0,0.2,0.0
2020,Mario Hezonja,PF,24,POR,39,4,16.2,1.5,4.0,.385,0.4,1.4,.283,1.2,2.6,.437,.433,1.0,1.3,.816,0.6,3.0,3.6,0.8,0.6,0.2,0.7,2.2,4.5
2020,Buddy Hield,SG,27,SAC,54,44,33.4,7.4,17.2,.431,3.8,9.9,.385,3.6,7.3,.494,.542,1.7,2.1,.830,1.0,4.0,5.0,3.2,0.9,0.3,2.5,2.5,20.4
2020,George Hill,PG,33,MIL,44,0,21.1,3.5,6.4,.541,1.5,3.0,.511,2.0,3.5,.566,.659,1.3,1.5,.821,0.9,2.1,3.0,3.0,0.7,0.1,1.0,1.4,9.7
2020,Solomon Hill,SF,28,MEM,48,3,18.8,2.0,4.9,.412,1.2,3.1,.381,0.8,1.8,.465,.532,0.5,0.8,.684,0.5,2.5,3.0,2.0,0.6,0.1,0.8,1.5,5.7
2020,Jaylen Hoard,SF,20,POR,13,0,7.9,1.2,2.5,.469,0.0,0.2,.000,1.2,2.2,.517,.469,0.6,1.0,.615,1.1,1.4,2.5,0.3,0.4,0.0,0.3,0.9,2.9
2020,Aaron Holiday,PG,23,IND,49,19,22.8,3.7,8.9,.415,1.5,3.7,.413,2.2,5.2,.416,.500,1.0,1.1,.870,0.4,1.8,2.2,3.4,0.7,0.2,1.3,1.8,9.9
2020,Jrue Holiday,SG,29,NOP,46,46,34.7,7.6,17.2,.441,2.0,5.8,.347,5.6,11.4,.489,.499,2.1,3.0,.706,1.2,3.5,4.7,6.5,1.7,0.9,2.9,2.1,19.3
2020,Justin Holiday,SG,30,IND,55,2,25.4,2.9,6.6,.434,1.8,4.4,.417,1.0,2.2,.467,.572,0.7,0.9,.788,0.5,2.9,3.4,1.5,1.0,0.6,0.5,1.8,8.3
2020,Rondae Hollis-Jefferson,SF,25,TOR,43,3,19.6,2.8,5.9,.476,0.0,0.4,.125,2.8,5.5,.500,.480,1.9,2.6,.726,2.0,2.9,4.9,1.8,1.0,0.4,1.0,2.1,7.6
2020,Richaun Holmes,C,26,SAC,37,33,29.4,5.5,8.4,.660,0.0,0.0,,5.5,8.4,.660,.660,2.1,2.5,.817,3.1,5.4,8.5,1.0,1.1,1.4,1.2,3.9,13.1
2020,Rodney Hood,SF,27,POR,21,21,29.5,4.1,8.2,.506,1.7,3.4,.493,2.5,4.8,.515,.608,1.0,1.3,.778,0.5,3.0,3.4,1.5,0.8,0.2,0.9,2.2,11.0
2020,Al Horford,C,33,PHI,50,49,30.9,4.9,11.1,.440,1.4,4.4,.327,3.4,6.7,.515,.505,0.8,1.1,.732,1.5,5.2,6.7,3.9,0.9,0.9,1.0,2.1,12.0
2020,Talen Horton-Tucker,SG,19,LAL,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0
2020,Danuel House,SF,26,HOU,48,37,31.0,3.6,8.6,.421,2.1,5.6,.375,1.5,3.0,.507,.544,1.3,1.6,.789,1.1,3.4,4.5,1.3,1.1,0.6,0.9,2.1,10.6
2020,Dwight Howard,C,34,LAL,53,2,19.8,3.2,4.3,.738,0.1,0.1,.600,3.1,4.2,.741,.745,1.4,2.9,.468,2.7,5.2,7.8,0.7,0.4,1.3,1.2,3.2,7.8
2020,William Howard,SG,26,HOU,2,0,6.5,0.0,2.0,.000,0.0,2.0,.000,0.0,0.0,,.000,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.5,0.5,0.0
2020,Kevin Huerter,SG,21,ATL,45,37,30.3,4.5,10.7,.418,2.3,5.8,.392,2.2,4.8,.450,.525,1.0,1.3,.825,0.6,3.5,4.1,3.4,0.8,0.5,1.6,2.4,12.3
2020,De'Andre Hunter,SF,22,ATL,53,52,31.6,4.5,10.9,.410,1.6,4.8,.345,2.8,6.1,.460,.485,1.7,2.2,.759,0.5,3.4,4.0,1.8,0.8,0.3,1.6,2.8,12.2
2020,Chandler Hutchison,SF,23,CHI,28,10,18.8,2.9,6.3,.457,0.4,1.4,.316,2.4,4.9,.496,.491,1.6,2.8,.590,0.6,3.2,3.9,0.9,1.0,0.3,1.0,1.7,7.8
2020,Serge Ibaka,C,30,TOR,44,21,27.2,6.5,12.5,.526,1.3,3.1,.404,5.3,9.4,.566,.576,1.8,2.4,.738,2.0,6.0,8.0,1.4,0.5,0.8,1.9,2.8,16.1
2020,Andre Iguodala,SG,36,MIA,3,0,21.0,1.7,3.0,.556,1.0,2.3,.429,0.7,0.7,1.000,.722,0.0,0.0,,1.7,3.7,5.3,2.3,0.3,0.3,1.3,2.3,4.3
2020,Ersan İlyasova,PF,32,MIL,50,7,16.2,2.7,5.6,.472,0.9,2.4,.373,1.8,3.3,.543,.550,1.2,1.5,.836,1.1,3.9,5.0,0.9,0.4,0.3,0.6,1.6,7.4
2020,Joe Ingles,SF,32,UTA,54,34,30.1,3.5,8.1,.433,2.0,5.1,.396,1.5,3.0,.497,.557,1.0,1.3,.789,0.4,3.7,4.0,5.2,0.9,0.1,1.9,2.1,10.0
2020,Brandon Ingram,PF,22,NOP,47,47,34.1,8.5,18.0,.473,2.5,6.3,.400,6.0,11.7,.513,.543,5.3,6.1,.862,0.9,5.5,6.4,4.2,1.0,0.7,3.0,2.8,24.9
2020,Kyrie Irving,PG,27,BRK,20,20,32.9,10.0,20.8,.478,2.8,7.1,.394,7.2,13.7,.522,.546,4.7,5.1,.922,1.1,4.1,5.2,6.4,1.4,0.5,2.6,2.7,27.4
2020,Jonathan Isaac,SF,22,ORL,32,32,29.7,4.7,10.1,.463,0.9,2.8,.330,3.7,7.2,.515,.509,1.8,2.3,.767,1.8,5.2,6.9,1.4,1.6,2.4,1.5,2.5,12.0
2020,Wesley Iwundu,SF,25,ORL,41,15,18.3,1.7,4.3,.382,0.5,1.5,.323,1.2,2.8,.414,.438,1.3,1.6,.818,0.5,2.0,2.6,1.1,0.6,0.2,0.4,1.5,5.1
2020,Frank Jackson,PG,21,NOP,44,1,13.2,2.1,5.1,.406,0.8,2.4,.317,1.3,2.7,.483,.480,1.0,1.3,.772,0.3,0.9,1.3,0.8,0.3,0.1,0.9,1.4,5.9
2020,Jaren Jackson,C,20,MEM,52,52,28.1,6.2,13.2,.468,2.5,6.3,.397,3.7,6.8,.534,.563,2.3,3.0,.747,1.0,3.8,4.8,1.4,0.7,1.7,1.7,4.1,17.1
2020,Josh Jackson,SG,22,MEM,7,0,17.6,2.1,5.9,.366,0.4,2.6,.167,1.7,3.3,.522,.402,1.3,1.9,.692,0.7,3.1,3.9,0.9,0.9,0.1,1.4,1.4,6.0
2020,Justin Jackson,PF,24,DAL,49,2,16.1,2.2,5.6,.394,0.8,2.7,.301,1.4,2.9,.482,.467,0.6,0.7,.853,0.4,1.9,2.4,0.7,0.2,0.1,0.2,1.1,5.8
2020,Reggie Jackson,PG,29,DET,14,10,27.2,5.4,14.1,.384,2.2,5.9,.378,3.2,8.3,.388,.462,1.9,2.4,.788,0.8,2.1,2.9,5.1,0.6,0.1,1.6,1.5,14.9
2020,Justin James,SG,23,SAC,31,0,7.0,1.1,2.5,.423,0.3,0.8,.346,0.8,1.7,.462,.481,0.3,0.7,.476,0.2,0.8,1.0,0.5,0.2,0.3,0.3,0.5,2.7
2020,LeBron James,PG,35,LAL,51,51,34.9,9.6,19.6,.489,2.1,6.2,.345,7.4,13.4,.556,.544,3.7,5.4,.687,1.0,6.8,7.8,10.8,1.3,0.4,4.0,1.7,25.0
2020,Amile Jefferson,PF,26,ORL,18,0,4.1,0.3,0.8,.357,0.0,0.0,,0.3,0.8,.357,.357,0.3,0.8,.357,0.6,0.7,1.3,0.2,0.1,0.2,0.2,0.4,0.8
2020,DaQuan Jeffries,SG,22,SAC,6,0,3.2,0.5,1.2,.429,0.2,0.7,.250,0.3,0.5,.667,.500,0.0,0.0,,0.2,0.0,0.2,0.2,0.2,0.0,0.0,0.5,1.2
