name,nick
"Dominique Wilkins","Nique,The Human Highlight Film"
"Nelson Bobb","Nitzy"
"Orlando Woolridge","O,Obocop"
"Charles Oakley","Oak,Oak Tree"
"Adrian Griffin","Old School"
"Oliver Taylor","Ollie"
"Wally Osterkorn","Ox"
"Pascal Siakam","P-Skills,Spicy P"
"Pearl Washington","Pac-Man"
"Amir Johnson","Paper Thin"
"Pierre Jackson","Pappy Jack"
"Patricio Garino","Pato"
"Stacey King","Pearl"
"Anfernee Hardaway","Penny"
"Kendrick Perkins","Perk"
"Paul George","PG-13,Playoff P,Young Trece"
"Mike Gale","Philly Dog"
"John Battle","Pickle"
"Marcus Paige","Picklehead"
"Jose Ortiz","Picu,Piculin"
"Anthony Miller","Pig"
"Eric Piatkowski","Pike,The Polish Rifle"
"Dave Twardzik","Pinball"
"Pete Maravich","Pistol Pete"
"Calvin Natt","Pit Bull"
"Calvin Murphy","Pocket Rocket"
"Lawrence Moten","Poetry"
"Eugene Jeter","Pooh"
"Connie Norman","Popcorn"
"Paul Arizin","Poppin' Paul"
"Frank Selvy","Pops"
"Jeff Mullins","Pork Chop"
"Tyler Hansbrough","Psycho T"
"Miles Plumlee","Purveyor of Fun"
"Quincy Pondexter","Q-Pon"
"Quentin Richardson","Q-Rich"
"Mike Riordan","Rags"
"Murray Wier","Rampaging Redhead"
"Raul Neto","Raulzinho"
"Charles Edge","Razor"
"Rex Morgan","Reckless Rex"
"Kevin Huerter","Red Velvet"
"Delonte West","Redz"
"Shareef Abdur-Rahim","Reef"
"Shawn Kemp","Reign Man"
"Rondae Hollis-Jefferson","RHJ"
"Ricky Davis","Ricky Buckets"
"Mario Chalmers","Rio"
"Richard Hamilton","Rip"
"Dave Robisch","Robo"
"Mitch Richmond","Rock"
"Robert Covington","RoCo"
"Robin Lopez","RoLo"
"Ron Baker","Ron Burgundy"
"Metta World Peace","Ron-Ron,The Panda's Friend,Tru Warier"
"Dan Roundfield","Rounds"
"Mickey Johnson","Rubber Band Man"
"Robin Jones","Rubberband Man"
"Rudy Tomjanovich","Rudy T."
"Stefano Rusconi","Rusca"
"Russell Westbrook","Russ,The Brodie"
"Russ Smith","Russdiculous"
"Shaun Livingston","S Dot"
"Amar'e Stoudemire","S.T.A.T."
"Arvydas Sabonis","Sabas"
"Sam Cassell","Sam I Am"
"Scot Pollard","Samurai Scot"
"Sarunas Jasikevicius","Saras"
"Aleksandar Djordjevic","Sasha"
"Alexander Volkov","Sasha"
"Tom Sanders","Satch"
